Geographic name,Province,2006 Population,2006 Land area km2,2006 Population density,Latitude,Longitude
Matane,QC,16438,316.2174,52,48.8438162151,67.5301335397
London,ON,457720,2665.2818,171.7,42.9807905909,81.2469829387
Lloydminster,SK,27023,1088.3696,24.8,53.2766512551,110.0015075025
Lethbridge,AB,95196,2975.5904,32,49.6936173898,112.8253191147
Leamington,ON,49741,508.7641,97.8,42.0462929473,82.60063206
Lachute,QC,11832,108.6713,108.9,45.4418261335,73.6837571562
La Tuque,QC,15293,25431.7625,0.6,47.4312282657,72.7818646368
Kitimat,BC,8987,242.6283,37,54.0578664158,128.6481602975
Kitchener,ON,451235,827.0655,545.6,43.4907438888,80.5368775555
Kingston,ON,152358,1906.6864,79.9,44.2414688792,76.5257297489
Kentville,NS,25969,607.6486,42.7,45.0798788413,64.493429556
Kenora,ON,15177,210.9057,72,49.7695051298,94.4806195854
Kelowna,BC,162276,2904.0086,55.9,49.8804449758,119.4561026919
Kawartha Lakes,ON,74561,3059.4747,24.4,44.466820254,78.449547293
Kamloops,BC,92882,5686.1856,16.3,50.6758477789,120.3377151489
Joliette,QC,43595,117.6064,370.7,46.0232195544,73.4428202499
Ingersoll,ON,11760,12.8959,911.9,43.038084367,80.88278327
Hawkesbury,ON,12267,12.2717,999.6,45.605436539,74.6038540742
Hamilton,ON,692911,1371.8915,505.1,43.238351913,79.8498542885
Halifax,NS,372858,5495.6192,67.8,44.6548130688,63.6015937162
Guelph,ON,127009,378.4539,335.6,43.5413227004,80.2499502918
Greater Sudbury / Grand Sudbury,ON,158258,3382.32,46.8,46.5063275,80.988224
Grande Prairie,AB,71868,5976.194,12,55.1684447433,118.7918945982
Grand Falls-Windsor,NL,13558,54.4795,248.9,48.934642,55.657528
Granby,QC,68352,317.0675,215.6,45.4022396818,72.7351822885
Fredericton,NB,85688,4521.7208,19,45.9593625807,66.6462414694
Fort St. John,BC,25136,621.8397,40.4,56.247764,120.849128
Estevan,SK,11135,792.2283,14.1,49.1431702672,102.9920703644
Elliot Lake,ON,11549,698.1178,16.5,46.3887999464,82.6497173309
Edmundston,NB,21442,902.1755,23.8,47.3751801576,68.3329713491
Edmonton,AB,1034945,9417.8804,109.9,53.5381979286,113.5029643025
Duncan,BC,41387,371.7467,111.3,48.7840965732,123.7023554313
Drummondville,QC,78108,613.9296,127.2,45.8765461832,72.4953395232
Dolbeau-Mistassini,QC,14546,295.673,49.2,48.879233739,72.2163948639
Dawson Creek,BC,10994,22.3237,492.5,55.7578229299,120.2396209385
Cranbrook,BC,24138,4547.6462,5.3,49.5076752507,115.7627395932
Cowansville,QC,12666,51.006,248.3,45.2071848493,72.7471452075
Courtenay,BC,49214,542.8555,90.7,49.6924558073,124.9924322953
Cornwall,ON,58485,508.9833,114.9,45.0284623226,74.7326423269
Corner Brook,NL,26623,255.0951,104.4,48.9509583753,57.9566156675
Collingwood,ON,17290,33.4561,516.8,44.4971144661,80.2198629646
Cold Lake,AB,11991,59.2999,202.2,54.4368458384,110.1955592978
Cobourg,ON,18210,22.3716,814,43.965997517,78.1708672853
Chilliwack,BC,80892,1211.5013,66.8,49.1528959265,121.953452659
Chatham-Kent,ON,108589,2470.6646,44,42.3868452857,82.2020441428
Charlottetown,PE,58625,728.0278,80.5,46.2522369531,63.1327861054
